Time,Duration,SrcDevice,DstDevice,Protocol,SrcPort,DstPort,SrcPackets,DstPackets,SrcBytes,DstBytes
1720001344,10540,Comp679356,Comp654763,6,Port62917,443,4636,9480,3782976,6948840
1720001472,13711,Comp860515,Comp364557,6,Port4526,22,3276,10249,4258800,14338351
1720002766,8949,Comp827253,Comp852902,17,Port57236,123,9818,9732,14383370,10014228
1720003196,17464,Comp324834,Comp424132,6,Port44731,445,2735,7504,3374990,2161152
1720003233,4868,Comp679356,Comp499855,6,Port49322,443,10188,4709,7610436,3333972
1720003978,10043,Comp246872,Comp547568,6,Port19224,443,202,4034,32926,2315516
1720004008,118,Comp606940,Comp723487,6,Port62253,443,4835,4362,5835845,6220212
1720004304,14992,Comp131751,Comp852902,6,Port17371,443,3220,7288,4153800,3862640
1720004306,10224,Comp966362,Comp130485,6,Port33499,80,5373,9641,3916917,7211468
1720005984,3167,Comp584383,Comp852902,6,Port3397,445,9252,4405,7845696,4612035
1720007829,14717,Comp847313,Comp207492,6,Port58294,80,11482,6956,14708442,10044464
1720007977,17806,Comp314473,Comp387691,6,Port46475,143,8735,4966,2026520,4156542
1720008161,1234,Comp127895,Comp385395,6,Port11527,110,6037,7292,7401362,9311884
1720008164,15223,Comp405733,Comp362609,6,Port43737,587,6149,9825,4845412,2063250
1720008413,13256,Comp293600,Comp328683,6,Port12817,995,11916,4943,12404556,6623620
1720010387,6380,Comp293600,Comp516294,6,Port29693,445,11898,4762,3783564,1628604
1720011160,11422,Comp562571,Comp912181,6,Port34076,25,9153,2419,8585514,2791526
1720011350,14137,Comp846125,Comp731825,6,Port61102,587,1972,5983,849932,4900077
1720011664,8628,Comp385395,Comp336148,6,Port22474,80,3171,5483,2524116,5055326
1720011971,11996,Comp721407,WebServer,6,Port1850,22,3269,1921,2634814,336175
1720012214,871,Comp439536,Comp329842,6,Port28926,53,2749,11635,3947564,9505795
1720012274,16655,Comp490789,Comp654038,6,Port60797,3389,11611,10315,11819998,1712290
1720012289,16624,Comp606940,Comp946215,17,Port52517,1900,1909,3490,1628377,2949050
1720012590,3785,Comp663497,Comp846141,6,Port4834,53,10234,11332,6406484,7173156
1720012676,8594,Comp130485,Comp147986,17,Port4469,53,9673,3264,5146036,1090176
1720013755,4297,Comp826274,Comp246872,6,Port49848,445,6342,5026,6291264,3804682
1720013855,7193,Comp567603,Comp293600,6,Port47527,993,3683,1569,4891024,553857
1720014074,4955,Comp955337,Comp663497,6,Port36970,110,3190,7344,2791250,1175040
1720014186,12505,Comp100000,Comp827253,6,Port19091,110,8054,3208,4171972,1725904
